Task_name,Id_number,Absorbing_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Age,Gender,Language,Country
EasyMath,subject055,6.0,1.9,8.4,3.2,1.5,4.1,6.3,5.3,8.7,5.8,7.5,7.0,7.7,4.9,6.8,8.2,18.0,Woman,English,Canada
FingerTap,subject055,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,6.8,7.0,1.0,5.2,1.0,1.0,18.0,Woman,English,Canada
FingerTap,subject055,1.0,1.2,1.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,3.1,7.9,1.0,6.8,1.0,1.0,18.0,Woman,English,Canada
FingerTap,subject055,7.0,3.1,8.1,7.9,1.0,7.5,3.0,6.4,4.6,6.3,8.0,3.8,8.1,7.0,6.0,2.7,18.0,Woman,English,Canada
Friend,subject055,7.7,9.8,2.0,7.1,2.9,4.3,9.6,3.7,7.4,4.5,6.1,7.7,7.9,9.0,6.5,10.0,18.0,Woman,English,Canada
Friend,subject055,9.2,10.0,3.2,7.1,5.6,5.8,8.8,3.0,8.0,3.7,8.5,6.5,7.6,9.6,7.8,9.7,18.0,Woman,English,Canada
Friend,subject055,8.0,10.0,3.6,9.0,2.3,4.9,8.2,6.2,6.5,6.7,9.0,6.9,7.0,8.8,8.9,7.7,18.0,Woman,English,Canada
GoNoGo,subject055,1.0,1.0,2.5,2.6,2.0,8.1,2.0,1.0,10.0,2.4,5.0,1.0,2.5,6.9,1.0,1.0,18.0,Woman,English,Canada
GoNoGo,subject055,1.5,1.0,1.0,1.0,2.0,8.0,2.4,1.0,10.0,1.0,4.0,6.0,1.4,7.0,3.7,5.5,18.0,Woman,English,Canada
GoNoGo,subject055,3.0,1.0,3.8,1.0,1.9,6.3,6.8,3.0,9.1,7.0,3.3,4.5,6.5,6.7,4.7,4.9,18.0,Woman,English,Canada
HardMath,subject055,8.9,2.0,10.0,4.8,2.0,1.0,3.3,1.7,10.0,3.0,9.0,8.0,1.5,6.0,1.3,8.9,18.0,Woman,English,Canada
HardMath,subject055,9.1,2.0,9.4,1.0,1.3,1.6,1.8,1.5,9.0,1.8,7.9,6.6,3.0,4.4,1.0,8.3,18.0,Woman,English,Canada
HardMath,subject055,6.7,1.6,7.8,2.4,1.4,2.0,2.0,3.1,8.0,1.2,5.5,7.2,4.3,3.2,3.4,7.3,18.0,Woman,English,Canada
Memory,subject055,7.8,7.5,7.4,6.2,3.3,9.2,7.8,2.0,7.2,6.8,6.8,7.1,8.0,8.0,9.2,6.7,18.0,Woman,English,Canada
Memory,subject055,7.0,10.0,3.3,6.8,5.4,8.2,9.0,6.7,5.0,4.3,6.9,4.6,6.2,10.0,7.0,9.0,18.0,Woman,English,Canada
Memory,subject055,4.7,2.7,6.6,9.0,3.1,8.0,10.0,2.0,8.0,4.0,8.2,6.4,7.8,5.2,9.0,10.0,18.0,Woman,English,Canada
Read,subject055,6.9,1.1,3.0,9.5,3.0,2.1,4.0,2.0,8.5,4.9,4.6,3.6,1.1,5.1,2.0,7.2,18.0,Woman,English,Canada
Read,subject055,8.5,4.5,5.6,4.1,7.3,3.0,5.3,8.0,4.5,8.2,3.2,5.6,6.8,4.0,7.5,4.4,18.0,Woman,English,Canada
Read,subject055,6.1,3.1,6.5,4.6,3.4,3.7,4.7,8.0,7.0,2.9,3.5,3.1,7.8,4.8,7.2,7.3,18.0,Woman,English,Canada
SciFi,subject055,4.9,6.1,3.0,8.3,8.4,8.2,4.0,3.6,3.1,7.9,4.0,3.3,3.0,5.7,3.6,2.2,18.0,Woman,English,Canada
SciFi,subject055,4.9,6.1,3.0,8.3,8.4,8.2,4.0,3.6,3.1,7.9,4.0,3.3,3.0,5.7,3.6,2.2,18.0,Woman,English,Canada
You,subject055,9.0,3.6,3.2,7.5,2.1,3.5,4.0,7.4,4.5,7.9,7.7,3.5,3.8,8.4,10.0,9.3,18.0,Woman,English,Canada
You,subject055,7.6,7.4,3.0,8.0,2.6,3.0,9.1,4.3,3.5,6.9,7.6,6.5,3.0,9.3,9.0,9.2,18.0,Woman,English,Canada
You,subject055,8.8,6.0,4.2,9.1,2.5,3.2,7.8,7.1,3.0,6.9,6.8,5.8,5.3,7.7,8.7,8.4,18.0,Woman,English,Canada
0B,subject056,5.6,2.1,2.0,7.4,1.0,1.0,8.1,2.6,6.0,6.9,2.1,2.4,6.7,5.2,2.0,2.0,20.0,Man,English,Canada
0B,subject056,10.0,2.9,7.0,8.3,1.5,2.5,6.0,6.6,5.2,7.0,1.0,2.6,6.4,5.6,6.4,3.2,20.0,Man,English,Canada
0B,subject056,10.0,2.4,3.4,5.7,10.0,3.1,1.0,9.2,9.0,7.7,1.0,1.0,8.9,3.5,8.0,1.6,20.0,Man,English,Canada
1B,subject056,8.9,2.0,1.0,9.0,1.2,2.8,3.1,8.4,8.0,9.2,1.0,1.6,8.0,5.5,5.9,8.4,20.0,Man,English,Canada
1B,subject056,5.7,1.0,10.0,1.0,1.0,1.0,7.0,1.4,1.4,4.2,9.0,8.4,8.7,5.6,7.6,6.1,20.0,Man,English,Canada
1B,subject056,2.4,2.8,8.4,9.1,1.0,1.0,1.7,7.8,7.5,8.1,1.9,1.0,8.0,3.5,3.1,5.0,20.0,Man,English,Canada
2B-Face,subject056,7.2,1.0,1.0,7.4,10.0,9.1,1.0,1.0,1.0,4.2,6.1,1.0,1.0,5.4,1.0,1.0,20.0,Man,English,Canada
2B-Face,subject056,6.3,1.3,1.0,8.9,10.0,10.0,1.0,6.2,1.0,5.9,3.4,1.0,1.0,5.5,1.0,1.0,20.0,Man,English,Canada
2B-Scene,subject056,8.4,1.0,1.0,9.6,1.0,10.0,1.0,1.0,1.0,1.0,8.8,6.6,1.0,5.5,1.0,1.0,20.0,Man,English,Canada
2B-Scene,subject056,7.9,1.0,1.0,10.0,1.0,8.6,8.0,1.0,1.6,6.1,2.7,1.0,1.0,5.2,1.0,1.0,20.0,Man,English,Canada
Documentary,subject056,1.0,1.0,2.0,8.2,1.0,1.0,7.6,1.0,1.0,4.3,2.1,3.7,1.0,5.5,1.0,5.1,20.0,Man,English,Canada
Documentary,subject056,1.0,1.0,2.0,8.2,1.0,1.0,7.6,1.0,1.0,4.3,2.1,3.7,1.0,5.5,1.0,5.1,20.0,Man,English,Canada
EasyMath,subject056,7.4,7.5,5.3,10.0,6.8,1.0,3.0,10.0,2.7,8.0,5.1,7.1,7.8,6.1,5.1,2.8,20.0,Man,English,Canada
EasyMath,subject056,9.0,5.8,2.7,6.9,8.1,1.8,2.3,1.0,8.8,10.0,2.5,3.9,6.7,4.1,6.9,3.0,20.0,Man,English,Canada
EasyMath,subject056,10.0,3.0,1.0,7.6,2.8,1.0,1.0,2.7,6.0,7.7,1.0,1.3,8.3,4.9,8.6,1.0,20.0,Man,English,Canada
FingerTap,subject056,5.5,7.4,1.4,7.2,1.6,3.1,8.2,9.0,10.0,4.0,4.0,2.4,2.4,5.2,5.0,2.0,20.0,Man,English,Canada
FingerTap,subject056,9.0,3.6,2.3,8.6,2.4,2.8,7.1,8.0,3.5,6.9,3.0,2.1,3.9,4.4,7.9,8.3,20.0,Man,English,Canada
FingerTap,subject056,7.7,3.5,2.1,6.6,2.9,4.6,7.0,8.7,5.8,8.8,4.1,2.6,6.7,2.1,7.9,8.0,20.0,Man,English,Canada
Friend,subject056,6.3,10.0,2.2,8.0,8.0,8.0,7.0,2.0,10.0,3.1,3.0,8.0,2.0,7.6,2.0,9.4,20.0,Man,English,Canada
Friend,subject056,6.0,10.0,2.0,7.1,1.3,6.4,7.2,1.8,2.9,5.3,4.9,6.0,2.1,8.3,5.4,8.0,20.0,Man,English,Canada
Friend,subject056,2.3,10.0,1.3,7.9,1.0,1.8,8.0,4.0,1.3,2.1,3.2,3.0,1.4,5.6,7.0,8.0,20.0,Man,English,Canada
GoNoGo,subject056,10.0,6.4,4.2,9.2,1.6,7.5,7.3,2.4,8.7,1.0,1.0,1.0,10.0,5.9,8.0,8.6,20.0,Man,English,Canada
GoNoGo,subject056,2.3,8.0,2.0,8.0,1.9,2.0,8.4,2.3,2.0,7.0,2.3,2.8,2.2,8.0,6.0,7.0,20.0,Man,English,Canada
GoNoGo,subject056,10.0,8.3,2.0,7.3,2.0,2.3,8.0,1.8,7.9,8.0,2.0,7.3,6.4,4.0,8.5,8.8,20.0,Man,English,Canada
HardMath,subject056,1.0,1.0,1.0,6.8,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,1.0,5.3,1.0,1.0,20.0,Man,English,Canada
HardMath,subject056,5.5,1.0,3.3,6.1,7.1,1.0,1.0,1.3,4.1,3.2,6.3,3.3,1.0,5.4,6.5,2.9,20.0,Man,English,Canada
HardMath,subject056,10.0,7.8,8.0,7.7,10.0,3.9,4.1,1.0,10.0,4.6,1.0,7.7,7.5,5.6,7.6,6.1,20.0,Man,English,Canada
Memory,subject056,6.8,8.3,4.3,6.6,1.0,8.0,10.0,3.9,3.2,1.7,4.5,6.9,3.0,6.7,10.0,10.0,20.0,Man,English,Canada
Memory,subject056,10.0,8.5,1.0,10.0,1.0,6.8,10.0,8.0,1.0,1.8,9.0,8.6,2.2,10.0,3.0,10.0,20.0,Man,English,Canada
Memory,subject056,3.1,9.0,1.6,1.0,2.0,9.0,7.0,2.0,3.3,3.6,5.3,3.5,1.0,7.9,7.3,9.0,20.0,Man,English,Canada
Read,subject056,10.0,3.3,1.9,1.0,1.7,7.5,7.0,6.7,10.0,6.2,1.0,4.2,8.6,5.3,10.0,8.5,20.0,Man,English,Canada
Read,subject056,7.1,2.0,2.1,6.6,2.9,7.0,7.0,5.0,2.1,3.5,1.2,2.6,2.5,5.6,6.9,7.1,20.0,Man,English,Canada
Read,subject056,9.0,1.1,8.7,2.1,2.0,1.7,6.7,7.7,8.6,7.5,1.0,2.7,6.5,5.6,1.1,7.9,20.0,Man,English,Canada
SciFi,subject056,1.0,1.0,1.0,8.0,7.7,8.1,9.1,1.0,8.5,1.2,7.8,10.0,4.0,4.8,2.6,7.5,20.0,Man,English,Canada
SciFi,subject056,1.0,1.0,1.0,8.0,7.7,8.1,9.1,1.0,8.5,1.2,7.8,10.0,4.0,4.8,2.6,7.5,20.0,Man,English,Canada
You,subject056,1.0,1.0,2.2,7.6,1.0,1.0,1.0,1.0,1.0,3.5,1.1,1.0,1.0,1.0,8.0,6.9,20.0,Man,English,Canada
You,subject056,1.0,6.2,2.0,8.0,1.0,8.0,7.7,1.0,1.0,4.2,5.1,6.5,1.0,5.8,8.0,6.2,20.0,Man,English,Canada
You,subject056,1.9,1.0,1.0,7.1,1.0,2.3,7.9,1.0,1.3,1.0,3.7,1.0,1.0,5.3,8.0,6.5,20.0,Man,English,Canada
0B,subject057,7.3,4.0,1.9,8.7,9.1,6.0,1.7,1.7,4.1,2.0,5.4,3.1,3.0,5.6,6.9,9.0,18.0,Woman,English,Canada
0B,subject057,8.5,2.8,1.5,9.3,9.7,2.7,2.5,1.8,7.1,1.2,4.6,1.8,1.7,8.7,3.0,8.0,18.0,Woman,English,Canada
0B,subject057,4.5,10.0,1.9,7.6,8.8,5.7,10.0,1.8,8.4,1.4,6.1,8.9,8.9,8.9,10.0,9.0,18.0,Woman,English,Canada
1B,subject057,6.5,1.3,5.6,1.4,9.4,9.2,1.0,1.4,1.2,1.0,5.5,9.5,1.0,5.1,1.5,2.6,18.0,Woman,English,Canada
1B,subject057,8.2,1.0,2.1,10.0,8.0,3.0,10.0,1.5,1.0,1.2,10.0,8.4,9.5,5.5,1.0,3.9,18.0,Woman,English,Canada
1B,subject057,8.6,1.0,1.2,10.0,9.9,1.0,10.0,1.0,1.1,1.0,10.0,10.0,8.8,5.1,1.0,3.0,18.0,Woman,English,Canada
2B-Face,subject057,5.5,7.8,1.1,7.9,8.3,9.0,9.7,3.0,2.1,1.0,8.5,8.1,2.1,6.1,4.0,1.4,18.0,Woman,English,Canada
2B-Face,subject057,1.7,7.9,2.2,8.9,8.4,10.0,9.5,2.8,2.3,1.0,9.8,7.3,3.5,6.5,3.9,1.8,18.0,Woman,English,Canada
2B-Scene,subject057,7.4,6.9,1.9,7.0,8.7,9.7,7.1,5.9,8.8,1.0,2.5,2.7,8.7,3.6,7.9,1.6,18.0,Woman,English,Canada
2B-Scene,subject057,2.0,1.0,1.9,9.1,8.4,10.0,6.6,1.7,2.5,1.2,7.0,7.7,10.0,5.5,3.1,1.3,18.0,Woman,English,Canada
Documentary,subject057,1.3,8.9,2.0,3.8,8.0,8.1,1.9,1.0,2.6,1.4,2.9,2.2,2.3,9.1,1.6,1.5,18.0,Woman,English,Canada
Documentary,subject057,1.3,8.9,2.0,3.8,8.0,8.1,1.9,1.0,2.6,1.4,2.9,2.2,2.3,9.1,1.6,1.5,18.0,Woman,English,Canada
EasyMath,subject057,2.0,1.0,6.6,10.0,10.0,1.0,1.3,1.0,1.5,1.0,10.0,10.0,10.0,10.0,1.2,7.3,18.0,Woman,English,Canada
EasyMath,subject057,9.8,1.0,9.7,10.0,10.0,1.0,7.8,1.0,1.1,1.0,10.0,10.0,8.7,10.0,1.9,8.4,18.0,Woman,English,Canada
EasyMath,subject057,10.0,1.0,10.0,10.0,10.0,1.0,8.1,1.0,1.0,1.0,10.0,10.0,8.1,10.0,1.4,9.1,18.0,Woman,English,Canada
FingerTap,subject057,4.6,4.1,3.1,8.7,8.0,4.3,7.2,3.9,6.4,1.5,2.9,2.5,2.1,6.3,10.0,7.9,18.0,Woman,English,Canada
FingerTap,subject057,4.1,8.6,1.7,6.8,8.7,7.3,1.8,2.1,6.5,1.6,7.8,3.7,3.1,7.6,7.5,3.4,18.0,Woman,English,Canada
FingerTap,subject057,7.9,4.8,2.3,8.8,6.1,7.7,6.9,5.2,7.5,1.4,2.5,10.0,10.0,7.0,8.7,7.1,18.0,Woman,English,Canada
Friend,subject057,8.8,10.0,2.1,10.0,10.0,10.0,9.9,2.7,6.8,1.0,9.9,9.0,7.9,10.0,2.3,8.2,18.0,Woman,English,Canada
Friend,subject057,9.6,10.0,4.7,9.5,9.8,8.6,10.0,4.2,7.6,1.5,9.5,8.7,10.0,9.8,3.0,8.6,18.0,Woman,English,Canada
Friend,subject057,6.8,10.0,2.9,7.8,8.6,8.1,10.0,4.2,6.9,2.7,9.4,7.3,7.9,9.8,8.4,7.9,18.0,Woman,English,Canada
GoNoGo,subject057,3.5,6.4,3.3,3.0,3.3,2.3,3.4,5.6,5.2,1.6,2.4,2.5,5.2,4.8,8.1,2.0,18.0,Woman,English,Canada
GoNoGo,subject057,9.0,2.3,3.9,8.6,5.2,6.7,3.3,7.2,7.0,2.9,1.9,6.3,3.1,4.5,4.1,4.1,18.0,Woman,English,Canada
GoNoGo,subject057,3.5,5.5,1.6,9.1,5.7,5.3,3.6,5.6,3.1,1.2,2.0,2.9,1.0,5.5,2.9,6.1,18.0,Woman,English,Canada
HardMath,subject057,9.6,1.0,10.0,10.0,6.6,1.0,8.7,2.4,2.5,1.0,10.0,10.0,8.1,8.9,1.6,8.5,18.0,Woman,English,Canada
HardMath,subject057,10.0,1.0,7.9,10.0,8.9,1.2,7.7,2.0,2.0,1.0,10.0,10.0,9.2,10.0,1.0,7.2,18.0,Woman,English,Canada
HardMath,subject057,10.0,1.0,8.3,10.0,8.8,5.7,7.7,1.4,1.9,1.4,10.0,10.0,7.9,10.0,1.3,8.1,18.0,Woman,English,Canada
Memory,subject057,10.0,8.6,2.1,9.6,10.0,8.3,10.0,6.3,8.5,1.2,10.0,9.8,1.0,6.8,10.0,8.0,18.0,Woman,English,Canada
Memory,subject057,9.6,3.6,3.3,9.1,9.1,10.0,10.0,5.5,3.8,1.3,10.0,10.0,8.5,8.9,10.0,7.7,18.0,Woman,English,Canada
Memory,subject057,5.5,9.3,7.8,8.6,7.4,6.0,9.0,4.6,4.8,1.9,10.0,10.0,1.7,2.8,3.9,7.3,18.0,Woman,English,Canada
Read,subject057,5.9,2.6,1.8,8.7,10.0,1.3,6.5,3.0,7.1,1.3,3.2,7.4,7.6,4.1,9.6,9.2,18.0,Woman,English,Canada
Read,subject057,8.8,7.8,2.1,7.2,8.8,2.7,7.9,7.9,7.9,1.0,3.2,2.9,8.2,6.4,8.8,5.1,18.0,Woman,English,Canada
Read,subject057,7.9,6.1,5.1,8.1,7.7,6.5,5.3,3.2,8.2,4.0,2.3,3.4,6.2,8.5,8.0,2.9,18.0,Woman,English,Canada
SciFi,subject057,3.8,9.4,2.8,6.9,3.1,8.1,6.3,1.8,2.7,1.6,6.1,3.0,2.6,9.4,6.1,6.9,18.0,Woman,English,Canada
SciFi,subject057,3.8,9.4,2.8,6.9,3.1,8.1,6.3,1.8,2.7,1.6,6.1,3.0,2.6,9.4,6.1,6.9,18.0,Woman,English,Canada
You,subject057,7.0,6.2,4.4,7.6,10.0,7.4,8.7,3.4,2.7,1.7,8.7,6.9,9.4,5.8,10.0,7.9,18.0,Woman,English,Canada
You,subject057,6.3,7.2,6.9,9.2,8.5,6.5,10.0,4.8,7.4,1.5,9.0,8.4,8.3,7.1,10.0,9.8,18.0,Woman,English,Canada
You,subject057,6.7,6.9,3.1,8.3,7.4,8.5,8.8,4.5,3.8,1.8,7.6,7.7,7.4,7.5,10.0,6.4,18.0,Woman,English,Canada
0B,subject058,5.9,8.0,8.0,8.0,3.0,6.0,4.3,6.0,6.0,5.0,7.0,3.0,8.0,7.0,9.0,9.0,20.0,Woman,Chinese,China
0B,subject058,3.0,7.0,7.0,7.0,3.0,9.0,3.0,4.0,5.0,7.6,5.0,2.0,2.0,6.0,10.0,4.0,20.0,Woman,Chinese,China
0B,subject058,1.2,5.0,5.0,5.3,3.2,5.3,6.0,7.5,4.0,10.0,6.0,8.0,2.9,8.0,3.0,5.9,20.0,Woman,Chinese,China
1B,subject058,6.0,1.5,8.5,6.3,6.0,5.5,5.0,5.9,6.5,5.9,5.1,5.0,6.0,5.2,6.2,6.4,20.0,Woman,Chinese,China
1B,subject058,7.3,1.0,8.0,3.9,1.2,4.1,6.6,4.5,9.0,6.0,8.0,7.0,5.6,5.0,4.2,8.0,20.0,Woman,Chinese,China
1B,subject058,10.0,3.2,4.0,7.8,8.0,2.0,7.8,6.1,5.0,5.0,8.4,5.9,6.7,9.0,2.0,5.4,20.0,Woman,Chinese,China
2B-Face,subject058,5.0,5.0,10.0,6.0,7.0,6.0,8.0,4.0,6.0,7.0,10.0,6.0,9.0,10.0,4.6,8.0,20.0,Woman,Chinese,China
2B-Face,subject058,3.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,6.0,2.0,2.0,5.0,5.0,8.0,5.0,20.0,Woman,Chinese,China
2B-Scene,subject058,5.0,5.0,8.0,2.0,5.0,7.0,2.0,6.0,7.0,8.0,4.8,8.0,10.0,7.0,8.0,8.0,20.0,Woman,Chinese,China
2B-Scene,subject058,8.0,2.9,2.0,6.0,2.0,5.0,7.0,9.0,9.0,2.0,2.0,6.0,2.0,10.0,5.0,5.0,20.0,Woman,Chinese,China
Documentary,subject058,5.0,2.0,10.0,10.0,9.0,10.0,8.0,3.4,5.0,3.0,6.0,9.0,8.0,9.0,2.5,7.0,20.0,Woman,Chinese,China
Documentary,subject058,5.0,2.0,10.0,10.0,9.0,10.0,8.0,3.4,5.0,3.0,6.0,9.0,8.0,9.0,2.5,7.0,20.0,Woman,Chinese,China
EasyMath,subject058,3.0,5.0,2.0,10.0,5.0,5.0,9.0,2.8,5.0,10.0,2.0,2.0,2.0,8.2,8.0,2.0,20.0,Woman,Chinese,China
EasyMath,subject058,8.5,5.4,6.0,9.0,9.0,7.0,3.0,5.0,2.0,4.0,8.0,9.0,2.0,3.0,4.0,8.0,20.0,Woman,Chinese,China
EasyMath,subject058,7.0,1.0,3.0,4.0,4.0,6.0,6.0,8.0,8.0,2.0,4.0,9.0,9.0,9.0,2.0,6.0,20.0,Woman,Chinese,China
FingerTap,subject058,3.3,1.6,2.7,3.7,2.7,2.0,2.0,3.0,2.3,6.7,4.5,1.0,3.4,3.6,3.6,5.0,20.0,Woman,Chinese,China
FingerTap,subject058,3.3,4.8,3.4,4.4,4.9,2.2,3.9,2.3,5.1,3.2,3.0,4.8,4.7,6.2,6.0,4.5,20.0,Woman,Chinese,China
FingerTap,subject058,5.6,4.6,5.8,5.2,1.0,5.4,2.9,5.1,5.0,4.0,3.5,5.3,5.0,5.5,5.4,4.9,20.0,Woman,Chinese,China
Friend,subject058,4.0,7.0,3.0,4.0,8.0,3.7,8.0,9.0,8.0,2.0,3.0,2.0,4.0,6.6,5.0,5.0,20.0,Woman,Chinese,China
Friend,subject058,4.0,4.7,2.0,5.0,7.0,7.0,3.0,6.0,2.0,6.0,10.0,2.0,1.0,5.0,4.0,4.0,20.0,Woman,Chinese,China
Friend,subject058,6.0,4.9,9.0,4.0,4.0,6.0,9.0,3.0,9.0,7.0,6.0,8.0,8.0,9.0,4.0,3.0,20.0,Woman,Chinese,China
GoNoGo,subject058,7.9,1.0,3.2,2.0,1.0,1.0,2.0,1.0,8.0,3.0,2.4,2.0,5.7,5.5,1.9,3.5,20.0,Woman,Chinese,China
GoNoGo,subject058,4.5,3.0,5.5,6.2,2.0,3.1,1.2,3.3,4.0,4.2,5.0,6.6,4.4,5.5,3.0,6.6,20.0,Woman,Chinese,China
GoNoGo,subject058,6.4,4.8,4.8,6.4,5.1,4.6,4.2,7.0,4.0,8.0,4.1,3.9,3.7,5.3,3.2,5.1,20.0,Woman,Chinese,China
HardMath,subject058,8.0,7.0,6.0,4.0,7.0,10.0,9.0,2.0,10.0,2.0,2.8,4.0,9.0,6.0,3.0,9.0,20.0,Woman,Chinese,China
HardMath,subject058,3.0,6.0,8.0,3.0,9.0,3.0,4.0,6.0,10.0,5.0,2.0,6.0,3.7,7.0,10.0,10.0,20.0,Woman,Chinese,China
HardMath,subject058,6.0,5.0,2.0,2.0,4.0,6.0,5.0,6.2,8.0,7.0,10.0,4.0,10.0,4.0,3.0,10.0,20.0,Woman,Chinese,China
Memory,subject058,7.0,9.0,3.0,10.0,5.0,9.0,8.0,4.0,7.0,5.0,8.0,2.0,5.0,2.0,1.0,9.0,20.0,Woman,Chinese,China
Memory,subject058,6.0,10.0,7.0,10.0,4.0,7.0,4.0,10.0,10.0,2.0,2.0,2.0,3.0,6.0,6.8,7.0,20.0,Woman,Chinese,China
Memory,subject058,3.0,9.0,7.0,6.0,5.0,6.0,3.0,8.1,3.0,6.0,9.0,2.0,8.0,10.0,5.0,2.0,20.0,Woman,Chinese,China
Read,subject058,6.0,6.0,3.0,6.0,4.0,6.0,2.0,6.0,3.0,4.0,3.0,5.0,6.0,10.0,6.4,9.0,20.0,Woman,Chinese,China
Read,subject058,10.0,6.0,9.0,10.0,9.0,10.0,7.0,7.0,3.0,7.0,3.0,9.0,3.0,5.7,6.0,2.0,20.0,Woman,Chinese,China
Read,subject058,7.0,7.0,6.0,5.0,4.0,6.0,9.0,5.0,6.2,4.0,7.0,2.0,2.0,4.0,6.0,5.0,20.0,Woman,Chinese,China
SciFi,subject058,10.0,4.0,6.0,7.4,10.0,8.0,2.0,9.0,3.8,7.6,4.0,5.0,7.8,4.8,10.0,9.0,20.0,Woman,Chinese,China
SciFi,subject058,10.0,4.0,6.0,7.4,10.0,8.0,2.0,9.0,3.8,7.6,4.0,5.0,7.8,4.8,10.0,9.0,20.0,Woman,Chinese,China
You,subject058,6.0,3.0,7.0,9.0,9.0,3.0,10.0,10.0,10.0,4.0,9.0,3.0,2.0,7.0,8.0,8.0,20.0,Woman,Chinese,China
You,subject058,8.0,4.0,9.0,9.0,7.0,4.1,4.0,7.0,4.9,8.0,2.0,4.0,5.0,5.3,1.3,7.0,20.0,Woman,Chinese,China
You,subject058,3.0,5.0,8.0,3.0,6.0,5.0,10.0,3.0,6.0,4.0,7.0,7.0,2.0,4.0,8.0,7.6,20.0,Woman,Chinese,China
0B,subject059,7.5,7.6,4.0,9.0,4.5,6.0,7.0,9.0,3.0,6.8,5.0,6.0,5.9,5.1,6.8,7.0,18.0,Woman,English,Canada
0B,subject059,7.0,7.0,6.0,4.0,7.0,6.0,8.0,2.9,6.0,4.4,8.0,6.7,8.0,7.6,7.7,8.0,18.0,Woman,English,Canada
0B,subject059,8.4,3.0,10.0,2.0,5.0,3.0,4.0,7.0,9.0,3.0,4.0,6.0,7.8,5.0,8.6,6.8,18.0,Woman,English,Canada
1B,subject059,9.0,9.0,3.0,5.3,8.0,8.0,4.0,3.0,7.0,4.0,8.0,9.0,3.0,4.0,6.0,6.0,18.0,Woman,English,Canada
1B,subject059,8.0,9.0,3.0,8.0,7.0,4.0,8.1,8.0,3.0,5.6,9.0,6.0,6.0,4.9,8.0,9.0,18.0,Woman,English,Canada
1B,subject059,7.0,7.0,8.0,5.0,5.0,10.0,2.0,8.0,9.0,2.0,7.0,9.0,6.0,3.0,5.0,2.0,18.0,Woman,English,Canada
2B-Face,subject059,10.0,6.5,8.0,7.3,5.7,10.0,9.0,10.0,9.0,10.0,1.0,9.1,9.1,8.4,9.7,9.0,18.0,Woman,English,Canada
2B-Face,subject059,8.2,7.4,8.1,7.2,8.0,8.0,7.1,8.4,9.0,9.0,2.0,7.5,7.4,8.2,8.0,7.7,18.0,Woman,English,Canada
2B-Scene,subject059,9.0,7.4,8.0,7.3,7.0,10.0,7.4,9.0,7.0,7.3,1.7,7.2,7.0,7.7,7.0,6.0,18.0,Woman,English,Canada
2B-Scene,subject059,7.8,8.0,8.2,10.0,6.9,8.0,7.8,6.8,7.0,8.6,2.6,5.0,7.8,9.0,6.9,10.0,18.0,Woman,English,Canada
Documentary,subject059,2.9,4.5,5.6,6.5,4.2,7.4,3.0,3.5,6.9,5.0,3.0,4.5,2.9,9.0,2.9,2.0,18.0,Woman,English,Canada
Documentary,subject059,2.9,4.5,5.6,6.5,4.2,7.4,3.0,3.5,6.9,5.0,3.0,4.5,2.9,9.0,2.9,2.0,18.0,Woman,English,Canada
EasyMath,subject059,10.0,6.0,5.0,4.2,8.0,4.4,6.0,4.0,7.0,7.0,5.6,4.0,2.1,7.0,7.0,9.0,18.0,Woman,English,Canada
EasyMath,subject059,7.3,5.0,3.5,7.1,5.0,5.0,5.8,5.2,4.4,7.3,6.1,3.0,4.7,7.0,5.1,7.6,18.0,Woman,English,Canada
EasyMath,subject059,2.5,5.4,3.7,4.5,5.8,2.0,5.0,3.3,6.4,4.9,3.0,2.0,10.0,8.0,4.9,2.4,18.0,Woman,English,Canada
FingerTap,subject059,3.4,1.0,7.7,7.5,1.0,7.7,9.1,3.9,6.1,4.0,2.8,2.5,3.3,10.0,8.0,8.9,18.0,Woman,English,Canada
FingerTap,subject059,4.7,6.0,8.2,10.0,3.3,8.5,7.0,7.4,3.5,7.9,5.4,6.4,5.0,7.0,7.2,10.0,18.0,Woman,English,Canada
FingerTap,subject059,7.5,6.6,4.0,6.7,6.7,6.1,6.5,6.3,4.4,8.0,6.9,8.0,6.4,7.4,9.0,8.3,18.0,Woman,English,Canada
Friend,subject059,8.2,7.0,6.4,7.0,9.0,8.2,9.0,4.4,6.6,6.2,3.5,9.0,6.8,10.0,8.8,2.0,18.0,Woman,English,Canada
Friend,subject059,6.3,7.0,9.0,7.6,6.0,7.8,7.0,8.0,6.0,5.6,2.2,8.0,6.7,8.4,6.7,8.6,18.0,Woman,English,Canada
Friend,subject059,7.0,6.0,7.0,8.0,6.4,9.0,6.7,6.4,4.0,7.0,5.1,5.0,9.0,8.0,9.0,4.6,18.0,Woman,English,Canada
GoNoGo,subject059,8.0,7.0,6.8,7.3,6.3,7.9,7.0,5.1,6.0,7.0,3.2,6.9,7.0,7.4,7.2,7.0,18.0,Woman,English,Canada
